category,name,price
Entertainment,Movie Whatchamacallit,12
Activity,Swimming Attachment,16.99
Pets,Dog Component,21.95
Beauty,Personal Gear,140.99
Health,Medicine Rig,139.99
Automotive,Engine Equipment,133
Automotive,Engine Mechanism,158.99
Electronics,Phone Gear,197.99
Health,Vitamin Accessory,156
Beauty,Makeup Apparatus,16.95
Activity,Camping Instrument,172.95
Pets,Dog Thingamajig,99.95
Home,Bedding Gadget,102
Automotive,Truck Gear,185.99
Pets,Aquarium Machine,69.99
Automotive,Truck Doodad,92.95
Health,First Aid Whatchamacallit,129
Health,Medicine Item,185
Automotive,Tire Kit,89.95
Clothing,Kids Item,56.99
Activity,Fitness Gizmo,164
Entertainment,Game Attachment,119.99
Beauty,Personal Equipment,103
Home,Cleaning Gadget,36.95
Electronics,Phone Paraphernalia,188.99
Entertainment,Movie Doodad,161.95
Entertainment,Movie Mechanism,87.95
Clothing,Jewelry Paraphernalia,175
Home,Furniture Component,115.95
Pets,Aquarium Component,45.99
Home,Cooking Contraption,110.95
Health,Medicine Widget,27
Clothing,Baby Gear,55.95
Beauty,Hair Care Widget,19
Activity,Swimming Mechanism,148
Electronics,Phone Gadget,146.99
Home,Cleaning Equipment,153.95
Health,Vitamin Thingamajig,188.95
Entertainment,Party Widget,12.99
Entertainment,Movie Instrument,179.99
Electronics,Technology Paraphernalia,31.99
Pets,Cat Machine,182
Beauty,Hair Care Device,43.99
Health,Medicine Device,135.99
Beauty,Personal Equipment,47.99
Activity,Outdoors Device,107.99
Health,Medicine Component,149
Beauty,Hair Care Apparatus,137.95
Home,Cleaning Gadget,144.99
Entertainment,Music Gadget,71.95
Beauty,Personal Implement,83.95
Activity,Fitness Apparatus,43
Activity,Swimming Doodad,55.99
Home,Kitchen Kit,79
Entertainment,Toy Instrument,76
Entertainment,Book Kit,123
Beauty,Bath Device,172
Pets,Dog Component,156.95
Home,Cooking Mechanism,83.95
Activity,Camping Gadget,112.95
Entertainment,Movie Gear,125
Beauty,Makeup Contraption,13
Home,Cooking Machine,155.95
Health,Medicine Machine,21.99
Home,Kitchen Implement,33.99
Entertainment,Movie Apparatus,48.95
Entertainment,Toy Widget,73.95
Beauty,Skin Care Widget,145.99
Clothing,Mens Equipment,115.99
Activity,Beach Paraphernalia,60.95
Activity,Sports Tool,37.95
Automotive,Tire Component,128.95
Clothing,Jewelry Gear,116
Automotive,Truck Item,184
Electronics,Camera Paraphernalia,191
Electronics,Camera Machine,156.99
Beauty,Hair Care Machine,172
Home,Furniture Instrument,31.95
Entertainment,Music Device,117
Home,Bedding Mechanism,20.99
Electronics,Phone Gizmo,95.99
Electronics,Technology Rig,52
Activity,Sports Paraphernalia,120.99
Home,Storage Implement,143
Health,Medicine Paraphernalia,189
Entertainment,Toy Contraption,107.95
Automotive,Car Thingamajig,63.99
Activity,Biking Gadget,79.95
Activity,Sports Rig,151.99
Entertainment,Book Mechanism,193
Activity,Biking Mechanism,87.99
Health,First Aid Paraphernalia,92.99
Electronics,Computer Tool,178.95
Automotive,Engine Rig,25.95
Entertainment,Music Tool,83.95
Home,Kitchen Thingamajig,100
Entertainment,Party Component,133.95
Home,Cleaning Device,177
Entertainment,Music Component,161
Home,Dining Paraphernalia,135.99
